business_id,business_name,review_year,platform,review_count,avg_rating,negative_review_count,pct_negative
B019,Business 04,2016,Google,8,4.375,2,0.25
B019,Business 04,2016,Yelp,24,3.875,8,0.333333333
B019,Business 04,2017,Google,21,4.142857143,4,0.19047619
B019,Business 04,2017,Yelp,17,3.764705882,4,0.235294118
B019,Business 04,2018,Google,48,4.375,7,0.145833333
B019,Business 04,2018,Yelp,18,3.388888889,9,0.5
B019,Business 04,2019,Google,52,4.442307692,7,0.134615385
B019,Business 04,2019,Yelp,13,3.384615385,5,0.384615385
B019,Business 04,2020,Google,36,4.444444444,5,0.138888889
B019,Business 04,2020,Yelp,12,3.416666667,6,0.5
B019,Business 04,2021,Google,25,4.32,4,0.16
B019,Business 04,2021,Yelp,9,4.0,3,0.333333333
B019,Business 04,2022,Google,24,4.875,1,0.041666667
B019,Business 04,2022,Yelp,15,4.2,2,0.133333333
B019,Business 04,2023,Google,14,4.571428571,1,0.071428571
B019,Business 04,2023,Yelp,11,3.545454545,4,0.363636364
B019,Business 04,2024,Google,66,4.560606061,7,0.106060606
B019,Business 04,2024,Yelp,9,4.777777778,0,0.0
B019,Business 04,2025,Google,266,4.30075188,47,0.176691729
B019,Business 04,2025,Yelp,34,3.352941176,17,0.5
B020,Union Citizens Bank,2015,Google,1,1.0,1,1.0
B020,Union Citizens Bank,2016,Google,1,4.0,0,0.0
B020,Union Citizens Bank,2017,Yelp,3,2.666666667,2,0.666666667
B020,Union Citizens Bank,2019,Google,1,5.0,0,0.0
B020,Union Citizens Bank,2019,Yelp,2,3.0,1,0.5
B020,Union Citizens Bank,2020,Google,2,1.0,2,1.0
B020,Union Citizens Bank,2021,Yelp,1,1.0,1,1.0
B020,Union Citizens Bank,2022,Google,1,5.0,0,0.0
B020,Union Citizens Bank,2022,Yelp,1,1.0,1,1.0
B020,Union Citizens Bank,2023,Google,1,5.0,0,0.0
B020,Union Citizens Bank,2025,Google,5,2.8,3,0.6
B020,Union Citizens Bank,2025,Yelp,6,1.0,6,1.0
B021,Bolt Boxing Gym,2013,Yelp,5,5.0,0,0.0
B021,Bolt Boxing Gym,2014,Yelp,2,5.0,0,0.0
B021,Bolt Boxing Gym,2015,Google,1,5.0,0,0.0
B021,Bolt Boxing Gym,2015,Yelp,7,5.0,0,0.0
B021,Bolt Boxing Gym,2016,Yelp,3,5.0,0,0.0
B021,Bolt Boxing Gym,2017,Yelp,5,4.8,0,0.0
B021,Bolt Boxing Gym,2018,Google,4,5.0,0,0.0
B021,Bolt Boxing Gym,2018,Yelp,2,5.0,0,0.0
B021,Bolt Boxing Gym,2019,Yelp,3,5.0,0,0.0
B021,Bolt Boxing Gym,2021,Google,1,5.0,0,0.0
B021,Bolt Boxing Gym,2022,Google,1,5.0,0,0.0
B021,Bolt Boxing Gym,2022,Yelp,1,5.0,0,0.0
B021,Bolt Boxing Gym,2023,Google,4,5.0,0,0.0
B021,Bolt Boxing Gym,2023,Yelp,5,4.8,0,0.0
B021,Bolt Boxing Gym,2024,Google,6,4.333333333,1,0.166666667
B021,Bolt Boxing Gym,2024,Yelp,1,5.0,0,0.0
B021,Bolt Boxing Gym,2025,Google,22,5.0,0,0.0
B021,Bolt Boxing Gym,2025,Yelp,5,4.6,1,0.2
B022,Business 05,2007,Yelp,3,4.0,1,0.333333333
B022,Business 05,2008,Yelp,3,4.0,0,0.0
B022,Business 05,2009,Yelp,2,3.0,1,0.5
B022,Business 05,2010,Yelp,2,4.0,0,0.0
B022,Business 05,2011,Yelp,4,2.5,3,0.75
B022,Business 05,2012,Yelp,3,2.0,2,0.666666667
B022,Business 05,2013,Yelp,8,1.75,7,0.875
B022,Business 05,2014,Yelp,5,1.6,4,0.8
B022,Business 05,2015,Google,1,1.0,1,1.0
B022,Business 05,2015,Yelp,9,1.222222222,9,1.0
B022,Business 05,2016,Google,3,1.0,3,1.0
B022,Business 05,2016,Yelp,9,1.111111111,9,1.0
B022,Business 05,2017,Google,5,2.6,5,1.0
B022,Business 05,2017,Yelp,12,3.25,4,0.333333333
B022,Business 05,2018,Google,6,2.666666667,4,0.666666667
B022,Business 05,2018,Yelp,8,1.625,7,0.875
B022,Business 05,2019,Google,8,2.0,6,0.75
B022,Business 05,2019,Yelp,9,2.333333333,7,0.777777778
B022,Business 05,2020,Google,3,3.666666667,1,0.333333333
B022,Business 05,2020,Yelp,6,3.333333333,3,0.5
B022,Business 05,2021,Google,9,3.111111111,4,0.444444444
B022,Business 05,2021,Yelp,6,1.166666667,6,1.0
B022,Business 05,2022,Google,7,2.142857143,5,0.714285714
B022,Business 05,2022,Yelp,4,2.5,3,0.75
B022,Business 05,2023,Google,11,2.545454545,8,0.727272727
B022,Business 05,2023,Yelp,8,2.0,6,0.75
B022,Business 05,2024,Google,34,2.735294118,19,0.558823529
B022,Business 05,2024,Yelp,13,1.846153846,11,0.846153846
B022,Business 05,2025,Google,84,2.55952381,51,0.607142857
B022,Business 05,2025,Yelp,57,1.614035088,49,0.859649123
B023,Kind Hands Pet Grooming,2024,Google,5,5.0,0,0.0
B023,Kind Hands Pet Grooming,2024,Yelp,4,5.0,0,0.0
B023,Kind Hands Pet Grooming,2025,Google,15,5.0,0,0.0
B023,Kind Hands Pet Grooming,2025,Yelp,6,5.0,0,0.0
B024,Smith & Company Accounting,2011,Yelp,1,2.0,1,1.0
B025,Pro Swing Golf,2023,Yelp,2,3.5,1,0.5
B025,Pro Swing Golf,2024,Google,1,5.0,0,0.0
B025,Pro Swing Golf,2025,Google,7,4.714285714,1,0.142857143
B026,High-End Labels,2007,Yelp,1,4.0,0,0.0
B026,High-End Labels,2008,Yelp,5,3.2,2,0.4
B026,High-End Labels,2009,Yelp,2,1.0,2,1.0
B026,High-End Labels,2010,Yelp,2,5.0,0,0.0
